SA2_MAINCODE_2016,Train_M,Train_F,Train_P,Bus_M,Bus_F,Bus_P,Ferry_M,Ferry_F,Ferry_P,Tram_M,Tram_F,Tram_P,Taxi_M,Taxi_F,Taxi_P,Car_Driver_M,Car_Driver_F,Car_Driver_P,Car_Pass_M,Car_Pass_F,Car_Pass_P,Truck_M,Truck_F,Truck_P,Mbike_M,Mbike_F,Mbike_P,Bike_M,Bike_F,Bike_P,Other_M,Other_F,Other_P,Walk_M,Walk_F,Walk_P,Tot_M,Tot_F,Tot_P
204011061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,53,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,57
204011062,0,5,8,0,0,3,0,0,0,0,0,0,0,0,0,517,390,910,22,27,47,20,0,16,4,0,4,3,0,3,14,3,12,43,35,74,621,465,1082
204021063,0,3,3,4,8,12,3,4,3,0,3,3,6,0,6,1478,1288,2767,98,98,197,33,0,33,10,0,10,30,16,41,16,5,24,82,106,183,1774,1518,3289
204021064,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,556,456,1012,27,35,59,30,7,31,8,0,10,3,0,3,16,0,18,35,32,66,668,528,1197
204021065,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,640,574,1215,35,34,70,11,0,11,3,0,3,8,0,13,3,0,3,42,36,74,751,646,1399
204021066,3,0,3,14,12,29,3,0,3,0,0,0,9,6,12,2912,2597,5512,185,207,394,37,0,37,16,6,16,89,37,133,21,8,27,168,206,372,3463,3090,6554
204021067,3,0,3,11,4,12,0,0,0,0,4,4,3,4,7,1620,1404,3025,65,91,155,69,0,68,21,9,32,13,0,11,19,8,28,117,83,200,1944,1604,3549
204031068,4,0,5,7,5,9,0,0,0,0,0,0,0,0,0,637,619,1252,23,43,59,10,0,10,5,0,5,12,4,14,13,9,19,53,68,123,760,745,1506
204031069,5,0,5,20,19,39,0,0,0,0,0,0,0,0,4,1016,919,1930,78,105,189,25,0,25,16,3,25,32,19,46,52,22,73,195,178,371,1447,1268,2715
204031070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,524,1083,25,23,42,29,0,29,6,0,6,0,0,0,4,0,4,14,19,29,646,562,1206
204031071,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,715,620,1330,42,50,88,15,0,16,8,0,8,7,7,14,10,9,13,58,50,105,859,734,1592
204031072,0,0,0,5,8,10,0,0,0,0,0,0,0,0,0,849,688,1532,37,51,86,27,5,27,29,5,35,7,6,7,20,10,27,96,92,189,1059,858,1917
204031073,0,3,3,10,21,27,3,3,6,0,0,0,0,7,11,2845,2482,5328,178,189,362,48,3,49,29,0,29,45,9,49,17,9,25,47,49,90,3217,2769,5984
204031074,9,5,11,30,24,48,0,0,0,0,3,0,9,10,21,4452,3643,8092,268,291,557,68,3,77,36,0,41,83,17,102,52,22,70,401,192,594,5411,4203,9616
