,SA2_MAINCODE_2016,Mode,Mode1,Gender,Count,MaleCount,FemaleCount,UnspecifiedCount,FemaleProp,MaleProp,UnspecifiedProp,,,
196,208041194,Train_M,Train,Male,806,806,0,0,0,0.005092563,0,,,
197,208041195,Train_M,Train,Male,812,812,0,0,0,0.005130473,0,,,
198,209011196,Train_M,Train,Male,111,111,0,0,0,0.000701333,0,,,
199,209011197,Train_M,Train,Male,463,463,0,0,0,0.002925381,0,,,
200,209011198,Train_M,Train,Male,612,612,0,0,0,0.00386681,0,,,
201,209011199,Train_M,Train,Male,178,178,0,0,0,0.00112466,0,,,
202,209011200,Train_M,Train,Male,480,480,0,0,0,0.003032792,0,,,
203,209011201,Train_M,Train,Male,260,260,0,0,0,0.001642762,0,,,
204,209011202,Train_M,Train,Male,363,363,0,0,0,0.002293549,0,,,
205,209011203,Train_M,Train,Male,505,505,0,0,0,0.00319075,0,,,
206,209011204,Train_M,Train,Male,268,268,0,0,0,0.001693309,0,,,
207,209021205,Train_M,Train,Male,140,140,0,0,0,0.000884564,0,,,
208,209021207,Train_M,Train,Male,627,627,0,0,0,0.003961585,0,,,
209,209021208,Train_M,Train,Male,578,578,0,0,0,0.003651987,0,,,
210,209021428,Train_M,Train,Male,520,520,0,0,0,0.003285525,0,,,
211,209021429,Train_M,Train,Male,228,228,0,0,0,0.001440576,0,,,
212,209031209,Train_M,Train,Male,478,478,0,0,0,0.003020155,0,,,
213,209031210,Train_M,Train,Male,68,68,0,0,0,0.000429646,0,,,
214,209031211,Train_M,Train,Male,7,7,0,0,0,4.42E-05,0,,,
215,209031212,Train_M,Train,Male,30,30,0,0,0,0.00018955,0,,,
216,209031213,Train_M,Train,Male,122,122,0,0,0,0.000770835,0,,,
217,209031214,Train_M,Train,Male,51,51,0,0,0,0.000322234,0,,,
218,209031215,Train_M,Train,Male,224,224,0,0,0,0.001415303,0,,,
219,209041216,Train_M,Train,Male,69,69,0,0,0,0.000435964,0,,,
220,209041217,Train_M,Train,Male,51,51,0,0,0,0.000322234,0,,,
221,209041219,Train_M,Train,Male,307,307,0,0,0,0.001939723,0,,,
222,209041220,Train_M,Train,Male,217,217,0,0,0,0.001371075,0,,,
223,209041221,Train_M,Train,Male,118,118,0,0,0,0.000745561,0,,,
224,209041223,Train_M,Train,Male,301,301,0,0,0,0.001901813,0,,,
225,209041224,Train_M,Train,Male,135,135,0,0,0,0.000852973,0,,,
226,209041225,Train_M,Train,Male,13,13,0,0,0,8.21E-05,0,,,
227,209041430,Train_M,Train,Male,108,108,0,0,0,0.000682378,0,,,
228,209041431,Train_M,Train,Male,169,169,0,0,0,0.001067796,0,,,
229,209041432,Train_M,Train,Male,171,171,0,0,0,0.001080432,0,,,
230,209041433,Train_M,Train,Male,167,167,0,0,0,0.001055159,0,,,
231,209041434,Train_M,Train,Male,151,151,0,0,0,0.000954066,0,,,
232,209041435,Train_M,Train,Male,180,180,0,0,0,0.001137297,0,,,
233,209041436,Train_M,Train,Male,172,172,0,0,0,0.00108675,0,,,
234,209041437,Train_M,Train,Male,120,120,0,0,0,0.000758198,0,,,
235,210011226,Train_M,Train,Male,64,64,0,0,0,0.000404372,0,,,
236,210011227,Train_M,Train,Male,0,0,0,0,0,0,0,,,
237,210011228,Train_M,Train,Male,58,58,0,0,0,0.000366462,0,,,
238,210011229,Train_M,Train,Male,184,184,0,0,0,0.00116257,0,,,
