SA2_MAINCODE_2016,Train_M,Train_F,Train_O,Bus_M,Bus_F,Bus_O,Ferry_M,Ferry_F,Ferry_O,Tram_M,Tram_F,Tram_O,Taxi_M,Taxi_F,Taxi_O,Car_Driver_M,Car_Driver_F,Car_Driver_O,Car_Pass_M,Car_Pass_F,Car_Pass_O,Truck_M,Truck_F,Truck_O,Mbike_M,Mbike_F,Mbike_O,Bike_M,Bike_F,Bike_O,Other_M,Other_F,Other_O,Walk_M,Walk_F,Walk_O
206051132,27,55,0,10,12,-1,0,0,5,644,678,-2,17,10,0,1155,908,-3,47,94,-5,8,0,0,37,9,0,152,93,-4,29,19,-2,521,543,7
206051133,352,329,-1,83,97,1,4,0,-1,1637,1924,-2,29,20,0,3127,2539,-1,124,194,-3,16,0,1,101,18,4,447,243,0,74,39,3,556,641,-3
206051134,789,799,-1,37,43,4,0,0,3,357,453,5,17,17,-6,2226,1958,1,108,172,5,14,3,-1,62,12,5,253,106,2,36,31,-5,215,295,0
206061135,484,473,0,3,10,-1,0,0,0,104,170,0,4,0,0,1170,1005,6,28,72,3,3,0,0,20,0,0,63,19,-2,19,20,0,72,117,-5
206061136,973,925,4,44,55,-4,0,0,7,549,679,0,15,16,-2,2436,2177,4,82,164,-1,9,0,-1,56,9,3,330,143,-5,32,29,1,557,689,2
206061137,1466,1541,5,50,76,0,0,0,0,243,397,-1,31,18,4,2106,1686,6,79,175,-3,6,0,0,47,11,-5,318,143,3,47,30,1,761,885,2
206061138,348,276,1,29,42,1,0,0,0,142,206,-1,9,5,-1,1845,1415,0,61,131,1,3,0,4,25,4,-4,110,37,-7,22,23,-2,154,166,-2
206071139,226,238,5,67,78,-1,3,0,0,354,426,5,10,6,-2,971,738,1,42,78,-1,4,0,0,31,3,0,258,131,0,24,16,-5,263,249,4
206071140,22,28,2,56,52,5,0,0,0,405,517,-8,4,8,-4,793,741,-4,35,74,0,0,0,0,34,9,2,407,281,-4,10,15,-1,224,304,2
206071141,115,105,1,49,68,4,0,0,0,367,373,3,13,7,3,702,549,-2,34,49,1,6,0,0,26,5,4,241,146,-1,16,13,6,442,469,0
206071142,55,49,1,21,21,-3,7,4,-5,449,494,0,18,13,2,751,587,-2,35,70,-6,3,0,0,26,4,4,267,188,4,14,18,-8,605,689,1
